ds,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),t,rh,ah,yhat,yhat_lower,yhat_upper
5/6/2004 18:00,1.8,1008,-200,9.4,954,92,892,92,1626,834,15.6,58.3,1.027,39.91,25.54,54.18
5/6/2004 19:00,2.1,1075,-200,11,1015,107,824,97,1722,949,15,61.4,1.039,43.39,27.95,58.55
5/6/2004 20:00,2.2,1034,-200,8.9,935,122,870,98,1605,941,13.7,65.8,1.025,46.61,31.21,62.55
5/6/2004 21:00,1.6,934,-200,6.6,841,100,973,93,1497,756,12.3,66.4,0.944,49.01,32.14,64.29
5/6/2004 22:00,0.9,883,-200,3.9,705,51,1133,65,1422,655,15.4,58.8,1.022,50.70,35.74,67.56
5/6/2004 23:00,1.8,1021,-200,7.3,871,93,938,81,1586,805,14.1,64.9,1.041,52.18,36.76,67.12
5/7/2004 0:00,2.3,1059,-200,8.2,907,145,879,102,1579,970,13.8,64.7,1.017,53.74,37.57,69.18
5/7/2004 1:00,2,1023,-200,7.5,878,106,896,91,1568,969,13.5,67.8,1.042,55.26,40.89,71.49
5/7/2004 2:00,0.9,855,-200,3.3,669,46,1160,56,1427,671,13.7,69.4,1.079,56.48,39.74,72.12
5/7/2004 3:00,0.6,826,-200,2.4,616,-200,1227,-200,1384,575,13.9,67.7,1.071,57.40,42.27,73.64
5/7/2004 4:00,-200,831,-200,2.2,602,32,1269,41,1386,535,14,67.8,1.079,58.32,43.50,74.28
5/7/2004 5:00,0.7,817,-200,2.8,639,51,1260,48,1364,489,14.6,61.1,1.008,59.33,42.48,75.67
5/7/2004 6:00,1.5,972,-200,7.5,880,89,964,72,1590,689,14.3,60.5,0.985,59.89,45.07,74.77
5/7/2004 7:00,3.7,1200,-200,19.8,1290,214,657,106,2014,1196,14.9,56.9,0.958,59.00,44.09,75.37
5/7/2004 8:00,4.2,1234,-200,22.1,1355,196,621,107,2095,1266,16.4,50.2,0.929,55.89,40.25,72.32
5/7/2004 9:00,3.4,1164,-200,15,1148,224,741,127,1824,1130,16,50.9,0.921,50.84,35.10,65.76
5/7/2004 10:00,2.4,976,-200,9.3,952,174,878,114,1582,834,18.6,42.8,0.909,45.16,28.90,60.34
5/7/2004 11:00,1.3,844,-200,6.3,825,90,1027,101,1405,536,19.7,33.7,0.765,40.39,25.38,55.61
5/7/2004 12:00,1.5,851,-200,8.2,906,89,989,95,1418,545,21.2,27.7,0.686,37.37,21.29,53.21
5/7/2004 13:00,2.2,926,-200,10.9,1010,132,904,110,1526,720,19.7,28.5,0.645,35.89,20.53,50.63
5/7/2004 14:00,1.8,890,-200,9.3,950,114,940,101,1460,655,19.8,29.7,0.678,35.22,20.01,50.54
5/7/2004 15:00,1.9,921,-200,8.4,914,107,937,106,1481,614,19.2,35.6,0.786,34.91,20.43,50.68
5/7/2004 16:00,2.3,1052,-200,9.4,956,140,869,116,1600,725,14.2,60.5,0.977,35.21,19.47,50.76
5/7/2004 17:00,3.6,1247,-200,17.9,1238,187,691,124,1948,1036,12.9,69.1,1.025,36.67,22.05,52.10
5/7/2004 18:00,4.3,1205,-200,17.4,1222,222,684,133,1911,1127,12.7,70.4,1.029,39.39,24.26,54.46
5/7/2004 19:00,2.2,1016,-200,10.5,995,117,857,96,1642,854,13.9,62.7,0.991,42.77,26.86,57.31
5/7/2004 20:00,1.5,984,-200,7.5,879,89,940,85,1527,792,13.9,62.9,0.995,45.88,30.03,61.14
5/7/2004 21:00,2,1041,-200,8,898,130,922,97,1595,891,13.4,65.2,1.000,48.18,33.10,63.50
5/7/2004 22:00,2,1027,-200,7.7,887,133,927,97,1568,876,13.4,64.6,0.986,49.77,34.00,65.54
5/7/2004 23:00,2.1,1025,-200,7.3,869,144,954,101,1531,851,13.3,63.6,0.968,51.15,35.02,66.32
5/8/2004 0:00,1.5,984,-200,6.4,829,99,1003,85,1516,787,13.3,61.8,0.943,52.62,38.49,67.92
5/8/2004 1:00,2.2,969,-200,5.6,791,102,1084,80,1446,711,13.6,59.7,0.927,54.05,38.80,69.78
5/8/2004 2:00,0.5,758,-200,1.5,546,27,1483,33,1252,396,14.6,53.3,0.881,55.19,39.16,70.80
5/8/2004 3:00,-200,767,-200,1.5,547,-200,1482,-200,1239,375,14.3,51.7,0.841,56.04,41.05,71.28
5/8/2004 4:00,-200,772,-200,1.2,518,-200,1544,-200,1202,343,10.9,67.5,0.879,56.89,41.03,71.04
5/8/2004 5:00,-200,831,-200,1.6,557,-200,1480,-200,1257,401,7.4,85.2,0.881,57.84,42.34,73.89
5/8/2004 6:00,-200,871,-200,2.6,628,-200,1243,-200,1329,518,8.7,81.5,0.919,58.36,42.25,73.23
5/8/2004 7:00,-200,995,-200,5.9,808,-200,1028,-200,1479,685,10.3,75.6,0.946,57.43,43.10,73.15
5/8/2004 8:00,-200,1093,-200,8.5,918,-200,857,-200,1589,939,11,75,0.982,54.30,38.23,69.67
5/8/2004 9:00,-200,1079,-200,7.7,885,-200,884,-200,1588,974,13.6,66.1,1.024,49.24,33.76,65.36
5/8/2004 10:00,-200,1084,-200,6.9,852,-200,910,-200,1575,959,14.7,63.1,1.049,43.56,28.14,58.87
5/8/2004 11:00,-200,1204,-200,10.1,982,-200,791,-200,1739,1067,13.8,72.3,1.136,38.80,23.50,54.22
5/8/2004 12:00,-200,1213,-200,11.1,1018,-200,760,-200,1778,1061,13.3,76.8,1.170,35.80,19.27,52.15
5/8/2004 13:00,-200,1124,-200,9.2,949,-200,827,-200,1671,1008,16.2,60,1.094,34.36,19.00,49.18
5/8/2004 14:00,-200,945,-200,4.3,726,-200,1053,-200,1432,637,16.3,55.3,1.015,33.72,18.37,48.56
5/8/2004 15:00,-200,964,-200,6.5,833,-200,1003,-200,1489,647,20,40.4,0.935,33.47,17.50,49.89
5/8/2004 16:00,-200,903,-200,5.4,786,-200,1073,-200,1375,523,19.8,35.4,0.810,33.83,18.01,50.02
5/8/2004 17:00,-200,918,-200,7.1,863,-200,992,-200,1408,539,19.8,33.6,0.767,35.36,20.68,51.84
5/8/2004 18:00,-200,1028,-200,9.5,961,-200,913,-200,1502,649,17.8,38.5,0.776,38.16,22.71,54.51
5/8/2004 19:00,-200,1175,-200,17,1209,-200,720,-200,1829,1071,16.7,44.6,0.839,41.62,26.71,56.78
5/8/2004 20:00,-200,1215,-200,15.4,1161,-200,714,-200,1802,1237,15.1,51.8,0.882,44.83,28.34,60.28
5/8/2004 21:00,-200,1072,-200,9.9,976,-200,835,-200,1603,1018,14.1,56.2,0.903,47.21,31.96,61.86
5/8/2004 22:00,-200,1070,-200,9.3,952,-200,858,-200,1573,966,13.8,58.3,0.915,48.90,33.73,64.93
5/8/2004 23:00,-200,1021,-200,6.9,853,-200,979,-200,1457,901,13.7,59.7,0.929,50.38,34.47,65.07
5/9/2004 0:00,-200,1063,-200,7.1,859,-200,952,-200,1519,949,13.7,60.3,0.941,51.95,37.92,67.45
5/9/2004 1:00,-200,1068,-200,9,938,-200,862,-200,1575,1057,12.7,64.9,0.951,53.48,37.04,67.57
5/9/2004 2:00,-200,993,-200,8.3,913,-200,879,-200,1601,989,12.6,65.4,0.953,54.71,40.14,70.37
5/9/2004 3:00,-200,1034,-200,8.7,928,-200,848,-200,1619,1005,12.1,68.6,0.964,55.64,40.41,71.46
5/9/2004 4:00,-200,1025,-200,8.4,914,-200,856,-200,1605,1003,12.3,68,0.972,56.58,40.97,72.06
5/9/2004 5:00,-200,1036,-200,8.1,902,-200,825,-200,1558,1087,11.9,71.1,0.990,57.61,40.83,73.11
5/9/2004 6:00,-200,924,-200,5.2,774,-200,987,-200,1460,909,11.3,73.8,0.985,58.20,42.22,74.13
5/9/2004 7:00,-200,922,-200,4.5,737,-200,1050,-200,1414,882,13.1,62.6,0.942,57.33,41.97,73.15
5/9/2004 8:00,-200,830,-200,2.6,625,-200,1266,-200,1303,568,16.8,46.8,0.888,54.25,38.86,69.01
5/9/2004 9:00,-200,947,-200,4.8,752,-200,1068,-200,1434,620,17.9,44.8,0.910,49.24,33.49,64.71
5/9/2004 10:00,-200,977,-200,4.5,737,-200,1025,-200,1450,686,17.8,49.5,0.999,43.58,28.15,58.94
5/9/2004 11:00,-200,1025,-200,4.9,761,-200,1008,-200,1476,700,18.8,46.4,0.997,38.84,23.27,55.18
5/9/2004 12:00,-200,1040,-200,5.8,804,-200,940,-200,1502,780,19.3,44,0.978,35.85,21.20,51.21
5/9/2004 13:00,-200,1013,-200,4.1,718,-200,1041,-200,1492,558,14.7,68.4,1.141,34.40,19.42,50.03
5/9/2004 14:00,-200,1035,-200,4.8,755,-200,997,-200,1521,608,15.6,65.8,1.158,33.75,18.08,51.03
5/9/2004 15:00,-200,1086,-200,7,859,-200,892,-200,1595,754,17.7,54,1.083,33.46,17.27,48.86
5/9/2004 16:00,-200,967,-200,4.8,753,-200,1048,-200,1420,544,17.8,46.7,0.947,33.79,18.62,48.57
5/9/2004 17:00,-200,968,-200,5.4,785,-200,1011,-200,1446,550,17.8,44.4,0.897,35.26,19.55,50.76
5/9/2004 18:00,-200,1004,-200,6.3,827,-200,972,-200,1465,627,17.8,44.3,0.893,38.00,22.93,52.96
5/9/2004 19:00,-200,1132,-200,10.1,981,-200,850,-200,1614,877,16.4,47.8,0.885,41.39,24.76,55.78
5/9/2004 20:00,-200,1121,-200,10.2,985,-200,833,-200,1625,981,15.6,51.6,0.906,44.51,28.90,59.80
5/9/2004 21:00,-200,1068,-200,8.4,917,-200,889,-200,1570,832,14.9,55,0.923,46.81,31.62,61.67
5/9/2004 22:00,-200,1123,-200,8.9,937,-200,866,-200,1606,941,13.8,59.8,0.940,48.40,32.91,64.95
5/9/2004 23:00,-200,1101,-200,8.8,933,-200,845,-200,1600,1022,13.8,62.1,0.972,49.77,33.50,64.61
5/10/2004 0:00,-200,997,-200,6.5,835,-200,951,-200,1501,888,13.9,61.1,0.966,51.23,35.63,65.80
5/10/2004 1:00,-200,875,-200,3,654,-200,1172,-200,1375,683,14.9,57.6,0.968,52.65,37.40,68.48
5/10/2004 2:00,-200,815,-200,1.8,569,-200,1361,-200,1344,534,14.4,60.1,0.980,53.76,38.12,68.84
5/10/2004 3:00,-200,803,-200,1.3,531,-200,1462,-200,1318,489,13.8,63.2,0.995,54.59,39.21,71.62
5/10/2004 4:00,-200,829,-200,1.8,570,-200,1304,-200,1357,562,14.2,62.9,1.014,55.41,39.80,70.74
5/10/2004 5:00,-200,867,-200,2.6,625,-200,1213,-200,1385,652,14,63.8,1.017,56.33,40.08,71.04
5/10/2004 6:00,-200,1118,-200,9.8,970,-200,837,-200,1705,1019,13.4,67.4,1.029,56.82,41.99,72.06
5/10/2004 7:00,-200,1632,-200,31.5,1587,-200,523,-200,2459,1678,14.7,62.3,1.035,55.85,40.85,71.68
5/10/2004 8:00,-200,1598,-200,35.2,1668,-200,490,-200,2617,1749,16,57.3,1.034,52.68,37.27,68.08
5/10/2004 9:00,4.4,1378,-200,20.2,1303,257,633,117,2051,1494,17.8,51.1,1.036,47.58,32.80,62.66
5/10/2004 10:00,2.5,1132,-200,13.4,1096,178,731,107,1808,1186,20,45,1.038,41.85,26.43,56.67
5/10/2004 11:00,2.1,1108,-200,11.7,1040,145,767,95,1748,1051,20.3,44.1,1.039,37.05,20.87,51.67
5/10/2004 12:00,2.4,1131,-200,13.4,1097,137,735,93,1797,1027,20.7,42.4,1.025,34.01,17.89,47.60
5/10/2004 13:00,2.2,1105,-200,12.9,1080,139,751,104,1758,981,20.8,40.6,0.989,32.53,16.97,47.77
5/10/2004 14:00,2.2,1120,-200,13.4,1096,130,753,102,1767,976,21.5,39.7,1.004,31.85,16.73,47.34
5/10/2004 15:00,2.3,1100,-200,13.7,1108,148,800,109,1731,932,25,30.1,0.939,31.56,15.82,47.09
5/10/2004 16:00,2.1,1098,-200,14.2,1124,120,810,97,1716,871,25.2,29.7,0.937,31.90,16.67,46.47
5/10/2004 17:00,2.5,1137,-200,17.8,1234,132,749,104,1824,990,23.4,32,0.910,33.39,18.69,48.91
5/10/2004 18:00,3.6,1267,-200,22,1352,188,651,124,1961,1196,21,37.8,0.930,36.16,21.50,50.70
5/10/2004 19:00,4,1319,-200,24.4,1413,204,597,135,2050,1329,19.2,45.7,1.008,39.61,24.14,54.68
5/10/2004 20:00,3,1160,-200,16.3,1189,167,698,122,1824,1151,17.7,50.9,1.023,42.80,27.67,57.44
5/10/2004 21:00,2.1,1084,-200,12.4,1063,128,775,109,1703,1031,16.8,53.6,1.017,45.19,28.61,59.34
5/10/2004 22:00,1.7,1025,-200,9.6,963,106,842,95,1621,917,15.8,56.2,1.003,46.88,30.62,61.81
5/10/2004 23:00,1.1,953,-200,6.4,830,88,986,86,1521,860,16,56.5,1.017,48.37,33.28,64.31
5/11/2004 0:00,0.9,959,-200,6,812,77,961,78,1518,910,14.2,64.1,1.035,49.95,34.86,64.76
5/11/2004 1:00,0.4,834,-200,2.8,637,36,1187,53,1362,699,15,59.8,1.014,51.51,35.84,65.92
5/11/2004 2:00,0.2,787,-200,1.6,549,28,1366,43,1317,596,14.3,61.9,1.003,52.78,36.63,68.86
5/11/2004 3:00,0.2,799,-200,1.6,555,-200,1327,-200,1320,643,12.8,66,0.969,53.76,38.63,69.18
5/11/2004 4:00,-200,807,-200,1.8,571,46,1305,53,1335,704,11.4,70.5,0.948,54.76,37.29,70.43
5/11/2004 5:00,0.6,866,-200,3.6,686,55,1135,48,1405,741,12,68,0.955,55.85,40.39,71.79
5/11/2004 6:00,1.4,1035,-200,8.4,917,135,882,64,1606,968,11.3,70.4,0.944,56.52,41.00,71.12
5/11/2004 7:00,4.6,1469,-200,27.5,1491,327,555,95,2301,1561,12.7,65.6,0.962,55.73,41.74,71.36
5/11/2004 8:00,5.5,1553,-200,31,1575,383,508,120,2423,1779,14.5,59.8,0.980,52.75,37.25,67.94
5/11/2004 9:00,4.8,1513,-200,26,1455,366,554,153,2182,1822,17.5,49.8,0.988,47.84,33.00,62.77
5/11/2004 10:00,4.5,1395,-200,22.6,1368,322,605,163,2032,1675,21.9,35.2,0.913,42.29,26.46,57.87
5/11/2004 11:00,3,1209,-200,18.3,1248,188,712,119,1891,1295,23.5,29.5,0.844,37.67,22.46,53.56
5/11/2004 12:00,2.5,1142,-200,13.9,1115,144,776,96,1735,1091,24.3,29.8,0.893,34.81,18.94,49.82
5/11/2004 13:00,2.3,1140,-200,14.4,1129,132,765,94,1728,1023,23.8,31.7,0.921,33.50,18.51,48.32
5/11/2004 14:00,2,1105,-200,11.6,1035,117,826,86,1643,877,24.2,31.2,0.926,32.99,16.67,47.88
5/11/2004 15:00,1.9,1131,-200,12.2,1058,121,824,91,1664,931,26.5,27.2,0.928,32.85,18.04,49.78
5/11/2004 16:00,1.9,1162,-200,12.4,1064,124,832,97,1675,913,25.7,28.4,0.925,33.32,17.29,46.85
5/11/2004 17:00,3.5,1336,-200,21.1,1326,188,674,125,1923,1255,26.3,27.5,0.931,34.95,18.97,50.11
5/11/2004 18:00,4.6,1533,-200,29.9,1549,226,573,140,2233,1571,24.4,31.6,0.955,37.84,22.61,54.37
5/11/2004 19:00,6.3,1650,-200,34.3,1649,266,528,158,2345,1779,23.1,35.3,0.985,41.39,26.17,55.60
5/11/2004 20:00,5,1535,-200,26.1,1458,269,568,159,2120,1735,21.1,40.2,0.997,44.67,28.26,59.12
5/11/2004 21:00,3.3,1382,-200,18.1,1243,183,632,128,1941,1511,19.2,52.3,1.152,47.13,31.65,62.49
5/11/2004 22:00,2.7,1335,-200,14.2,1122,167,673,114,1840,1424,18.1,58.7,1.207,48.87,33.60,64.67
5/11/2004 23:00,2.2,1267,-200,12.4,1064,138,706,100,1766,1348,17.3,58.8,1.149,50.40,34.07,65.54
5/12/2004 0:00,1.7,1122,-200,8.7,926,105,805,88,1619,1174,16.9,58.8,1.125,52.01,35.91,67.85
5/12/2004 1:00,0.8,986,-200,5.2,771,54,964,67,1518,947,17.6,57.6,1.148,53.58,39.03,68.85
5/12/2004 2:00,0.8,966,-200,4.6,744,58,967,65,1511,935,15.6,63.9,1.129,54.84,38.86,70.33
5/12/2004 3:00,0.6,919,-200,3.1,661,-200,1089,-200,1468,838,14.9,65.7,1.107,55.80,40.75,71.62
5/12/2004 4:00,-200,872,-200,2.7,632,37,1132,47,1403,768,15.6,62.2,1.096,56.75,40.48,71.63
5/12/2004 5:00,0.8,967,-200,4.7,749,84,996,57,1517,881,14,68.3,1.088,57.79,41.84,72.94
5/12/2004 6:00,1.5,1152,-200,9.6,964,134,800,73,1705,1096,14.5,65.7,1.080,58.39,42.85,74.22
5/12/2004 7:00,4.1,1500,-200,23.6,1393,279,560,95,2163,1495,15.5,62.2,1.088,57.52,41.85,73.52
5/12/2004 8:00,5.9,1754,-200,37.4,1716,333,452,110,2667,1895,17,56.8,1.091,54.45,38.39,69.14
5/12/2004 9:00,5.1,1558,-200,26.6,1469,336,525,121,2281,1758,18.8,52.4,1.129,49.43,33.05,65.94
5/12/2004 10:00,3.9,1446,-200,22,1350,280,568,108,2140,1630,19.7,51.9,1.180,43.78,28.14,58.69
5/12/2004 11:00,3.4,1349,-200,17.9,1236,275,627,125,1964,1530,20.9,44.6,1.087,39.04,23.39,54.22
5/12/2004 12:00,3.3,1452,-200,22.7,1371,207,576,117,2138,1622,21.9,43.3,1.127,36.06,20.92,51.65
5/12/2004 13:00,5.1,1676,-200,29.3,1534,305,496,131,2413,1828,20.4,55.7,1.321,34.61,19.11,50.44
5/12/2004 14:00,3.1,1327,-200,14.7,1139,236,658,126,1894,1323,17.4,67,1.325,33.97,18.80,48.75
5/12/2004 15:00,2.5,1248,-200,12.6,1072,183,713,114,1797,1188,17.1,64,1.241,33.70,17.17,48.42
5/12/2004 16:00,2.4,1250,-200,12.7,1074,162,724,123,1806,1166,17.3,61.1,1.196,34.04,19.70,51.31
5/12/2004 17:00,2.8,1222,-200,13,1084,157,727,116,1797,1108,17.7,56.3,1.130,35.54,20.11,51.99
5/12/2004 18:00,2.9,1159,-200,13.4,1097,136,748,107,1709,995,17.4,48.6,0.956,38.30,22.25,53.53
5/12/2004 19:00,3.4,1192,-200,14.8,1143,166,740,123,1767,1108,17.6,43.7,0.870,41.72,26.35,57.43
5/12/2004 20:00,2.2,1074,-200,9.4,954,136,846,112,1570,956,16.7,47.2,0.892,44.88,29.72,60.62
5/12/2004 21:00,1.6,984,-200,6.9,851,112,959,101,1452,817,16.8,45.6,0.864,47.23,30.84,62.49
5/12/2004 22:00,1.3,970,-200,5.2,773,87,1026,91,1425,658,16.1,52,0.946,48.87,33.74,65.57
5/12/2004 23:00,1.3,987,-200,5.7,800,86,989,88,1462,658,15.5,57.1,0.996,50.31,34.78,65.70
5/13/2004 0:00,1.6,1003,-200,6.5,836,98,949,96,1455,748,16.2,50.2,0.916,51.83,36.90,67.87
5/13/2004 1:00,1.2,933,-200,4.7,747,62,1045,75,1405,569,16.4,50.5,0.938,53.32,38.64,69.39
5/13/2004 2:00,0.6,859,-200,2.5,620,32,1201,47,1316,445,16.2,52.8,0.963,54.51,40.21,70.63
5/13/2004 3:00,0.4,815,-200,1.4,538,-200,1412,-200,1272,379,16,53.7,0.972,55.42,39.69,72.74
5/13/2004 4:00,-200,792,-200,1,501,21,1554,25,1252,354,16.2,53,0.967,56.33,40.94,72.18
5/13/2004 5:00,0.4,835,-200,1.7,560,41,1409,49,1317,407,16.2,53.7,0.980,57.34,42.67,73.70
5/13/2004 6:00,1,975,-200,4.5,736,86,1069,85,1459,611,15.9,55.3,0.991,57.91,41.27,72.51
5/13/2004 7:00,2,1133,-200,9.4,957,174,815,106,1652,944,16.2,55.6,1.015,57.04,40.81,71.19
5/13/2004 8:00,3.6,1347,-200,17.9,1237,264,645,136,1984,1328,16,59.3,1.071,53.97,38.88,70.12
5/13/2004 9:00,2.4,1122,-200,10.6,1000,211,783,119,1663,1085,16.6,55.6,1.042,48.96,33.87,64.45
5/13/2004 10:00,2.4,1152,-200,11,1014,208,774,122,1714,1139,17.4,51.8,1.022,43.33,28.25,58.31
5/13/2004 11:00,1.6,1020,-200,7.2,866,139,907,90,1554,799,17.6,49.7,0.994,38.62,22.82,54.60
5/13/2004 12:00,1.9,1066,-200,8.7,927,138,846,97,1608,804,17.2,52.8,1.024,35.67,20.39,51.87
5/13/2004 13:00,2.4,1105,-200,11.1,1016,142,789,98,1736,930,18.2,49.6,1.027,34.27,18.95,50.21
5/13/2004 14:00,1.7,1056,-200,7.9,894,131,891,93,1576,771,19.5,45,1.011,33.68,18.10,48.15
5/13/2004 15:00,2.1,1084,-200,9.8,970,132,818,98,1626,845,19.5,45.5,1.019,33.46,17.98,49.43
5/13/2004 16:00,3.1,1288,-200,16.4,1191,178,691,123,1910,1192,19.8,44.3,1.010,33.86,18.37,49.02
5/13/2004 17:00,4.6,1390,-200,22.6,1368,228,605,148,2092,1494,20.3,43.1,1.011,35.41,19.71,50.91
5/13/2004 18:00,4.5,1374,-200,20.2,1303,232,636,148,2036,1457,20.3,44.4,1.046,38.23,22.84,53.95
5/13/2004 19:00,3.9,1378,-200,21.7,1342,204,612,133,2076,1489,19.8,47.9,1.092,41.71,26.37,57.14
5/13/2004 20:00,4.6,1428,-200,21.2,1329,250,594,141,2102,1602,19.1,52.3,1.149,44.94,29.60,59.93
5/13/2004 21:00,3.3,1336,-200,15.9,1176,208,656,131,1891,1468,18.2,54.7,1.134,47.33,32.91,62.42
5/13/2004 22:00,2.7,1234,-200,12,1049,158,746,121,1733,1274,17.8,55,1.110,49.03,34.17,64.42
5/13/2004 23:00,3.3,1300,-200,17.4,1221,197,648,123,1946,1401,17.5,56.4,1.118,50.51,34.96,65.46
5/14/2004 0:00,2.5,1246,-200,15,1150,152,654,107,1873,1354,17.3,57.8,1.130,52.07,36.22,67.96
5/14/2004 1:00,2.1,1141,-200,11.1,1017,112,740,104,1690,1188,16.8,57.5,1.091,53.59,38.75,69.31
5/14/2004 2:00,1.3,1014,-200,6.9,853,75,883,91,1538,975,16.3,57,1.048,54.81,39.49,69.49
5/14/2004 3:00,1,938,-200,5.1,769,-200,978,-200,1463,816,16.2,56.3,1.026,55.73,39.45,71.85
5/14/2004 4:00,-200,988,-200,6.1,814,74,908,87,1512,921,15.5,59.9,1.050,56.65,42.22,72.49
5/14/2004 5:00,1.2,983,-200,6.5,833,116,894,102,1524,1012,16,58.3,1.048,57.65,41.30,74.18
5/14/2004 6:00,1.5,1033,-200,8.4,917,118,882,95,1617,905,17.2,52.3,1.017,58.22,43.51,72.97
5/14/2004 7:00,3.7,1388,-200,22.8,1372,272,601,140,2105,1449,18.5,49.4,1.040,57.32,41.35,71.67
5/14/2004 8:00,-200,1512,-200,29.1,1530,-200,527,-200,2326,1725,20,45.6,1.052,54.22,38.88,69.93
5/14/2004 9:00,3.3,1148,-200,13.6,1104,258,723,138,1713,1301,21,37.9,0.931,49.17,33.93,65.43
5/14/2004 10:00,2.5,1095,-200,11.1,1019,186,815,113,1618,1181,22.8,32.4,0.887,43.48,28.74,58.39
5/14/2004 11:00,1.9,987,-200,10,979,130,923,101,1515,962,25.5,25.6,0.822,38.71,23.82,54.10
5/14/2004 12:00,2,984,-200,10.5,998,134,905,97,1523,862,25.9,23.6,0.777,35.70,20.66,51.45
5/14/2004 13:00,2.5,1072,-200,13,1084,148,843,114,1622,1017,27.7,20.8,0.760,34.22,18.54,48.51
5/14/2004 14:00,2.1,1048,-200,12.5,1068,147,869,110,1573,993,27.1,21.6,0.762,33.54,18.13,49.34
5/14/2004 15:00,2.1,1042,-200,11.4,1029,123,907,103,1540,879,28.4,20.2,0.770,33.23,17.84,50.05
5/14/2004 16:00,2.3,1113,-200,13.1,1086,138,882,119,1584,926,28.1,21.9,0.818,33.54,19.22,48.97
5/14/2004 17:00,3,1146,-200,14.9,1145,162,836,126,1647,1011,27.6,22.3,0.812,35.00,18.52,51.45
5/14/2004 18:00,4.1,1239,-200,19.1,1272,214,748,144,1790,1380,25.2,24.3,0.767,37.71,22.27,53.41
5/14/2004 19:00,4.5,1302,-200,21.8,1346,230,706,164,1880,1698,24.6,25.1,0.764,41.09,26.40,56.70
5/14/2004 20:00,3.5,1181,-200,16.1,1183,191,792,148,1711,1432,23.1,27.2,0.758,44.21,28.90,59.76
5/14/2004 21:00,2.1,1068,-200,11.6,1037,128,869,119,1567,1217,22,28.6,0.748,46.50,30.56,61.60
5/14/2004 22:00,2.3,1135,-200,12.4,1065,138,803,111,1630,1317,20.8,34.5,0.837,48.10,32.54,63.38
5/14/2004 23:00,1.9,1121,-200,10.4,992,126,844,115,1505,1255,20.4,35.3,0.835,49.48,34.11,65.43
5/15/2004 0:00,1.9,1131,-200,9.7,965,107,843,103,1520,1223,19.1,38.3,0.838,50.95,35.58,66.17
5/15/2004 1:00,1.2,947,-200,5.7,798,67,964,81,1395,930,18,40.5,0.827,52.38,36.58,67.61
5/15/2004 2:00,1,935,-200,5.4,786,55,964,71,1389,954,17.4,43.4,0.855,53.52,38.10,69.19
5/15/2004 3:00,1.1,941,-200,5.6,792,-200,975,-200,1397,889,14.8,50.6,0.849,54.37,38.11,70.33
5/15/2004 4:00,-200,867,-200,4.4,734,48,1043,58,1324,808,14.6,51.4,0.849,55.22,39.52,69.35
5/15/2004 5:00,0.5,839,-200,2.8,638,33,1171,44,1271,643,15.7,46.9,0.833,56.17,41.59,72.39
5/15/2004 6:00,0.6,873,-200,3.9,704,41,1091,49,1322,756,15.3,49.7,0.855,56.69,40.50,72.42
5/15/2004 7:00,1.4,1065,-200,9.1,942,106,890,68,1576,1067,16,47.4,0.856,55.76,41.23,72.29
5/15/2004 8:00,2.6,1187,-200,13.6,1104,208,727,108,1721,1391,17.6,43.3,0.865,52.63,36.53,67.94
5/15/2004 9:00,2.8,1249,-200,15.8,1174,193,712,117,1774,1486,20.3,37.4,0.881,47.57,32.74,63.09
5/15/2004 10:00,2.6,1157,-200,12.7,1072,191,802,127,1653,1327,23.1,30.3,0.843,41.88,28.22,56.63
5/15/2004 11:00,1.6,988,-200,8.6,924,113,1015,93,1463,835,25,24.2,0.757,37.12,20.90,52.68
5/15/2004 12:00,1.7,1025,-200,9.4,955,111,997,94,1457,834,25.6,23.5,0.761,34.13,17.47,50.21
5/15/2004 13:00,1.7,997,-200,9.2,947,106,998,87,1460,815,25.5,22.6,0.729,32.68,16.12,47.54
5/15/2004 14:00,1.3,916,-200,6.4,829,82,1124,75,1333,621,26.1,21.1,0.702,32.05,17.15,48.65
5/15/2004 15:00,1.4,965,-200,8.3,910,79,1056,81,1389,643,28.2,19.4,0.730,31.79,16.52,48.28
5/15/2004 16:00,1.4,985,-200,8.1,903,90,1059,86,1437,712,27.4,20.5,0.738,32.16,17.18,46.65
5/15/2004 17:00,1.7,1026,-200,8.5,920,104,1037,97,1455,746,26,22.7,0.753,33.69,19.21,48.65
5/15/2004 18:00,2.3,1125,-200,11,1016,148,910,117,1564,991,23.8,27.1,0.786,36.48,21.14,52.06
5/15/2004 19:00,2.5,1159,-200,12.1,1054,158,878,120,1603,1046,23,28.7,0.798,39.95,24.62,55.88
5/15/2004 20:00,3.3,1284,-200,15,1149,234,780,149,1725,1304,21.7,31.8,0.819,43.15,28.26,58.08
5/15/2004 21:00,2.2,1101,-200,10.2,986,163,852,124,1574,1100,20.9,33.2,0.810,45.54,30.56,60.55
5/15/2004 22:00,1.6,1101,-200,9.9,972,95,879,97,1552,1001,20.2,34.3,0.802,47.23,31.09,62.58
5/15/2004 23:00,2.6,1183,-200,12,1049,146,762,112,1594,1290,19.6,37,0.833,48.71,34.41,64.94
